Data;VIX;POL;F2S;Dutch TTF;OIL;OIS1;OIS10;B GER 1;B GER 10;B It 1;B IT 10;B Sp 1;B Sp 10;B FR 1;B FR 10;B HUN 1;B HUN 10
28/02/18;19.85;46.68;0.182677142857143;17.350;65.78;-0.43;0.803;-0.684;0.666;-0.39;2.116;-0.404;1.539;-0.569;0.902;0.465;2.726
01/03/18;22.47;69.30;0.18363;17.560;63.83;-0.432;0.792;-0.686;0.653;-0.393;2.085;-0.404;1.506;-0.576;0.893;0.001;2.773
02/03/18;19.59;39.63;0.175495714285714;17.805;64.37;-0.432;0.8;-0.676;0.661;-0.392;2.108;-0.399;1.544;-0.574;0.904;0.014;2.751
03/03/18;#N/D;34.62;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
04/03/18;#N/D;98.68;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
05/03/18;18.73;148.37;0.178545714285714;17.515;65.54;-0.431;0.808;-0.674;0.655;-0.39;2.146;-0.393;1.501;-0.586;0.893;0.017;2.753
06/03/18;18.36;133.87;0.175204285714286;17.700;65.79;-0.4321;0.82;-0.676;0.686;-0.393;2.145;-0.397;1.491;-0.587;0.914;0.021;2.807
07/03/18;17.76;87.33;0.173677142857143;17.830;64.34;-0.433;0.795;-0.685;0.668;-0.396;2.102;-0.406;1.453;-0.583;0.886;0.026;2.801
08/03/18;16.54;57.00;0.18579;18.315;63.61;-0.436;0.777;-0.702;0.639;-0.4;2.051;-0.414;1.412;-0.585;0.85;0.027;2.787
09/03/18;14.64;132.57;0.186931428571429;18.940;65.49;-0.4347;0.792;-0.705;0.658;-0.395;2.078;-0.42;1.441;-0.585;0.878;0.037;2.803
10/03/18;#N/D;67.61;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
11/03/18;#N/D;170.78;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
12/03/18;15.78;107.40;0.192628571428571;19.710;64.95;-0.4357;0.781;-0.721;0.644;-0.396;2.074;-0.429;1.41;-0.582;0.862;0.038;2.785
13/03/18;16.35;54.85;0.180758571428571;19.465;64.64;-0.4364;0.763;-0.696;0.634;-0.407;2.063;-0.435;1.403;-0.585;0.852;0.045;2.784
14/03/18;17.23;79.61;0.180017142857143;18.615;64.89;-0.4369;0.741;-0.694;0.607;-0.411;2.083;-0.429;1.404;-0.585;0.826;0.049;2.712
15/03/18;16.59;43.98;0.177415714285714;18.800;65.12;-0.438;0.715;-0.693;0.59;-0.422;2.054;-0.428;1.385;-0.587;0.811;#N/D;#N/D
16/03/18;15.8;110.96;0.184135714285714;18.655;66.21;-0.4398;0.721;-0.699;0.585;-0.423;2.05;-0.426;1.378;-0.587;0.805;#N/D;#N/D
17/03/18;#N/D;132.51;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
18/03/18;#N/D;83.03;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
19/03/18;19.02;74.64;0.185624285714286;18.700;66.05;-0.4392;0.725;-0.695;0.586;-0.423;2.038;-0.428;1.348;-0.579;0.809;0.066;2.709
20/03/18;18.2;79.32;0.180875714285714;19.175;67.42;-0.4385;0.741;-0.678;0.6;-0.419;1.97;-0.429;1.318;-0.577;0.816;0.072;2.704
21/03/18;17.86;55.83;0.184515714285714;19.390;69.47;-0.4375;0.758;-0.678;0.608;-0.414;2.005;-0.428;1.343;-0.569;0.821;0.073;2.709
22/03/18;23.34;57.36;0.191371428571429;19.010;68.91;-0.438;0.711;-0.698;0.545;-0.412;1.958;-0.428;1.299;-0.571;0.76;0.083;2.603
23/03/18;24.87;66.64;0.197035714285714;18.445;70.45;-0.4391;0.708;-0.689;0.543;-0.409;1.95;-0.427;1.278;-0.572;0.75;0.098;2.624
24/03/18;#N/D;53.20;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
25/03/18;#N/D;61.37;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
26/03/18;21.03;89.77;0.197005714285714;17.990;70.12;-0.439;0.709;-0.688;0.542;-0.406;1.988;-0.432;1.272;-0.569;0.751;0.101;2.624
27/03/18;22.5;22.48;0.195601428571429;18.495;70.11;-0.439;0.68;-0.693;0.522;-0.411;1.951;-0.431;1.249;-0.569;0.725;0.107;2.578
28/03/18;22.87;26.48;0.18318;18.370;69.53;-0.439;0.685;-0.694;0.519;-0.416;1.917;-0.435;1.224;-0.568;0.723;0.111;2.529
29/03/18;19.97;16.75;0.187264285714286;18.225;70.27;-0.439;0.675;-0.693;0.514;-0.417;1.863;-0.44;1.175;-0.572;0.712;0.112;2.52
30/03/18;#N/D;44.07;#N/D;#N/D;#N/D;-0.439;0.675;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
31/03/18;#N/D;67.64;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
01/04/18;#N/D;111.65;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
02/04/18;23.62;167.71;#N/D;18.225;67.64;-0.439;0.675;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
03/04/18;21.1;88.73;0.17788;18.040;68.12;-0.439;0.667;-0.679;0.522;-0.408;1.875;-0.432;1.206;-0.578;0.726;0.128;2.559
04/04/18;20.06;52.90;0.169517142857143;18.185;68.02;-0.438;0.655;-0.672;0.52;-0.414;1.824;-0.42;1.181;-0.578;0.718;0.128;2.592
05/04/18;18.94;109.08;0.164627142857143;18.130;68.33;-0.438;0.674;-0.663;0.544;-0.409;1.873;-0.423;1.247;-0.574;0.752;0.139;2.659
06/04/18;21.49;70.62;0.170938571428571;18.180;67.11;-0.439;0.655;-0.666;0.518;-0.405;1.865;-0.426;1.246;-0.574;0.731;0.143;2.66
07/04/18;#N/D;106.96;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
08/04/18;#N/D;151.12;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
09/04/18;21.77;275.14;0.166208571428571;18.645;68.65;-0.439;0.651;-0.656;0.527;-0.397;1.852;-0.417;1.255;-0.57;0.737;0.143;2.603
10/04/18;20.47;56.17;0.163618571428571;18.840;71.04;-0.437;0.65;-0.656;0.538;-0.392;1.877;-0.421;1.279;-0.556;0.752;0.144;2.53
11/04/18;20.24;79.88;0.159347142857143;19.255;72.06;-0.4374;0.642;-0.655;0.521;-0.396;1.885;-0.426;1.289;-0.556;0.737;0.142;2.516
12/04/18;18.49;190.11;0.162857142857143;19.215;72.02;-0.4365;0.655;-0.664;0.538;-0.399;1.893;-0.43;1.272;-0.56;0.749;0.14;2.552
13/04/18;17.41;141.34;0.167758571428571;19.570;72.58;-0.4378;0.66;-0.667;0.534;-0.398;1.879;-0.431;1.255;-0.558;0.739;0.149;2.571
14/04/18;#N/D;71.29;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
15/04/18;#N/D;84.70;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
16/04/18;16.56;65.26;0.163398571428571;19.350;71.42;-0.438;0.6695;-0.661;0.55;-0.398;1.887;-0.429;1.263;-0.557;0.751;0.157;2.586
17/04/18;15.25;65.55;0.16939;19.015;71.58;-0.438;0.652;-0.668;0.532;-0.399;1.844;-0.431;1.241;-0.564;0.73;0.156;2.568
18/04/18;15.6;71.44;0.155414285714286;19.310;73.48;-0.438;0.669;-0.655;0.556;-0.4;1.801;-0.429;1.237;-0.562;0.749;0.154;2.582
19/04/18;15.96;46.61;0.145097142857143;19.860;73.78;-0.4375;0.722;-0.655;0.624;-0.397;1.864;-0.426;1.302;-0.554;0.819;0.181;2.633
20/04/18;16.88;47.54;0.15941;19.800;74.06;-0.437;0.731;-0.655;0.615;-0.394;1.861;-0.426;1.299;-0.55;0.81;0.182;2.619
21/04/18;#N/D;19.59;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
22/04/18;#N/D;70.06;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
23/04/18;16.34;66.91;0.148361428571429;19.890;74.71;-0.4355;0.751;-0.647;0.662;-0.394;1.882;-0.426;1.336;-0.549;0.848;0.189;2.696
24/04/18;18.02;35.09;0.1542;19.675;73.86;-0.4352;0.747;-0.645;0.657;-0.392;1.854;-0.427;1.321;-0.553;0.848;0.192;2.702
25/04/18;17.84;108.69;0.156768571428571;19.880;74.00;-0.435;0.761;-0.648;0.659;-0.392;1.866;-0.424;1.324;-0.553;0.856;0.068;2.73
26/04/18;16.24;68.42;0.166084285714286;20.150;74.74;-0.435;0.73;-0.653;0.618;-0.395;1.835;-0.426;1.291;-0.556;0.818;0.07;2.697
27/04/18;15.41;25.82;0.169031428571429;20.265;74.64;-0.437;0.716;-0.653;0.597;-0.393;1.829;-0.428;1.284;-0.556;0.797;0.079;2.694
28/04/18;#N/D;57.83;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
29/04/18;#N/D;65.00;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
30/04/18;15.93;86.67;0.173704285714286;20.560;75.17;-0.4368;0.706;-0.646;0.587;-0.387;1.876;-0.424;1.306;-0.558;0.791;#N/D;#N/D
